label	text_a
0	"China  continues  rapid  growth  |||    China's  economy  has  expanded  by  a  breakneck  9.5%  during  2004,  faster  than  predicted  and  well  above  2003's  9.1%.  |||    The  news  may  mean  more  limits  on  investment  and  lending  as  Beijing  tries  to  take  the  economy  off  the  boil.  China  has  sucked  in  raw  materials  and  energy  to  feed  its  expansion,  which  could  have  knock-on  effects  on  the  rest  of  the  world  if  it  overheats.  But  officials  pointed  out  that  industrial  growth  had  slowed,  with  services  providing  much  of  the  impetus.  Growth  in  industrial  output  -  the  main  target  of  government  efforts  to  impose  curbs  on  credit  and  investments  -  was  11.5%  in  2004,  down  from  17%  the  previous  year.  |||    Still,  consumer  prices  -  at  2.4%  -  rose  faster  than  in  2004,  adding  to  concern  that  a  sharp  rise  in  producer  prices  of  7.1%  could  stoke  inflation.  And  overall  investment  in  fixed  assets  was  still  high,  up  21.3%  from  the  previous  year  -  although  some  way  off  the  peak  of  43%  seen  in  the  first  quarter  of  2004.  The  result  could  be  higher  interest  rates.  China  raised  rates  by  0.27  percentage  points  to  5.8%  -  its  first  hike  in  nine  years  -  in  October  2004.  |||    Despite  the  apparent  rebalancing  of  the  economy  the  overall  growth  picture  remains  strong,  economists  said.  ""There  is  no  sign  of  a  slowdown  in  2005,""  said  Tim  Congdon,  economist  at  ING  Barings.  |||    China's  economy  is  not  only  gathering  speed  thanks  to  domestic  demand,  but  also  from  soaring  sales  overseas.  Figures  released  earlier  this  year  showed  exports  at  a  six-year  high  in  2004,  up  35%.  Part  of  the  impetus  comes  from  the  relative  cheapness  of  the  yuan,  China's  currency.  The  government  keeps  it  pegged  close  to  a  rate  of  8.28  to  the  US  dollar,  -  much  to  the  chagrin  of  many  US  lawmakers  who  blame  China  for  lost  jobs  and  competitiveness.  Despite  urging  to  ease  the  peg,  officials  insist  they  are  a  long  way  from  ready  to  make  a  shift  to  a  more  market-set  rate.  ""We  need  a  good  and  feasible  plan  and  formulating  such  a  plan  also  needs  time,""  National  Bureau  of  Statistics  chief  Li  Deshui  told  Reuters.  ""Those  who  hope  to  make  a  fortune  by  speculating  on  a  renminbi  revaluation  will  not  succeed  in  making  a  profit.""" 

1	"Cage  film's  third  week  at  US  top  |||    Nicolas  Cage  movie  National  Treasure  has  topped  the  US  and  Canada  box  office  for  the  third  week  in  a  row.  |||    National  Treasure  made  $17.1m  (£8.8m)  in  ticket  sales  from  Friday  to  Sunday,  according  to  studio  estimates,  taking  its  total  to  $110.2m  (£56.7m).  Comedy  Christmas  with  the  Kranks,  starring  Tim  Allen  and  Jamie  Lee  Curtis,  was  in  second  place.  The  Polar  Express  entered  in  third  place  while  Jude  Law  film  Closer  made  its  debut  at  number  six.  |||    Oliver  Stone's  big-budget  epic  Alexander,  starring  Colin  Farrell,  followed  last  week's  disappointing  sixth-place  opening  with  a  slump  to  seventh  place  and  takings  of  $4.7m  (£2.4m).  Critics  have  savaged  the  three-hour  epic,  which  reportedly  cost  $150m  (£77m)  to  make.  National  Treasure,  which  sees  Cage's  character  Ben  Gates  chase  a  hidden  fortune,  has  been  made  by  Disney  Studios.  It  is  Cage's  fourth  collaboration  with  Jerry  Bruckheimer,  who  is  usually  noted  for  his  male-orientated  action  films." 

2	"Clarke  to  press  on  with  ID  cards  |||    New  Home  Secretary  Charles  Clarke  has  vowed  to  plough  on  with  plans  for  ID  cards  despite  a  call  for  him  to  ""pause  for  thought""  from  Charles  Kennedy.  |||    The  Lib  Dem  leader  said  David  Blunkett's  resignation  was  a  ""good  opportunity""  to  question  whether  the  legislation  was  necessary.  But  Mr  Clarke  said  he  had  supported  the  plans  when  Mr  Blunkett  argued  for  them  in  Cabinet  and  he  supported  them  now.  ""ID  cards  are  a  means  to  creating  a  more  secure  society,""  he  said.  Mr  Clarke  acknowledged  how  the  measure  was  introduced  remained  a  matter  for  debate  but  he  said  legislation  had  already  been  ""significantly  influenced""  by  the  recommendations  of  the  Commons'  home  affairs  committee.  |||    The  issue  would  be  debated  in  Parliament  next  Monday  as  scheduled  he  insisted.  Earlier  Mr  Kennedy,  whose  party  opposes  the  ID  cards  plan  as  ""deeply  flawed""  said  with  Christmas  coming  up  the  new  home  secretary  had  time  to  think  again.  He  told  BBC  Radio  4's  Today  programme  that  Mr  Clarke  had  been  reported  to  be  less  enthusiastic  about  ID  cards  than  his  predecessors.  ""Wouldn't  this  be  a  good  opportunity  for  a  new  home  secretary,  a  new  broom,  to  sweep  clean  in  this  respect  and  why  do  we  need  this  legislation  in  the  first  place?""  he  asked.  Earlier  this  week  the  Tories  announced  they  would  back  the  government's  plans  although  Michael  Howard  was  forced  to  deny  the  shadow  cabinet  was  split  over  its  decision.  |||    They  had  decided  to  support  the  plans  as  the  police  said  they  would  help  fight  terror,  crime  and  illegal  immigration.  Among  those  reported  to  have  serious  reservations  over  the  strategy  were  senior  shadow  cabinet  members  David  Davis,  Oliver  Letwin  and  Tim  Yeo.  The  chairman  of  the  Bar  Council,  Guy  Mansfield  QC  has  warned  there  is  a  real  risk  that  people  on  the  ""margins  of  society""  would  be  driven  into  the  hands  of  extremists.  ""What  is  going  to  happen  to  young  Asian  men  when  there  has  been  a  bomb  gone  off  somewhere?  They  are  going  to  be  stopped.  If  they  haven't  [ID  cards]  they  are  going  to  be  detained.""  |||    The  Home  Office  says  people  will  pay  £85  for  a  passport  and  ID  card  together  or  a  undecided  fee  for  a  separate  ID  card.  The  first  cards  would  be  issued  in  2008  and  when  he  was  introducing  the  bill,  Mr  Blunkett  suggested  Parliament  could  decide  in  2011  or  2012  whether  to  make  it  compulsory  for  everybody  to  own  the  cards,  although  not  to  carry  them.  The  new  bill  will  also  create  new  criminal  offences  on  the  possession  of  false  identity  documents.  And  there  will  be  civil  penalties  including  a  fine  of  up  to  £1,000  fine  for  people  who  fail  to  say  they  have  moved  house  or  changed  other  details  and  of  up  to  £2,500  for  failing  to  sign  up  if  the  cards  become  compulsory.  The  scheme  will  be  overseen  by  a  new  independent  watchdog." 

1	"Jackson  film  'absolute  disaster'  |||    A  PR  expert  has  told  the  Michael  Jackson  child  abuse  trial  that  the  TV  documentary  at  the  heart  of  the  case  was  an  ""absolute  disaster"".  |||    Ann  Kite  told  the  court  in  the  Californian  town  of  Santa  Maria  she  was  hired  to  ""crisis  manage""  the  fallout  after  the  programme  had  aired  in  2003.  Jurors  saw  the  film,  in  which  the  pop  star  held  hands  with  the  alleged  victim,  on  Tuesday.  Mr  Jackson  denies  10  charges  of  child  abuse  and  false  imprisonment.  If  convicted,  he  could  face  up  to  21  years  in  prison.  |||    Ms  Kite  suggested  Jackson's  associates  had  been  intent  on  launching  a  smear  campaign  against  the  accuser's  family  after  the  airing  of  Martin  Bashir's  film  Living  with  Michael  Jackson.  She  told  the  court  that  in  the  aftermath  of  the  broadcast,  a  Jackson  lawyer  had  told  her  the  boy's  mother  would  be  made  to  look  like  a  ""crack  whore"".  Jackson's  defence  questioned  Ms  Kite's  credibility,  pointing  that  she  worked  for  the  singer's  team  for  less  than  a  week  before  being  fired,  and  had  never  met  or  spoken  to  the  star.  |||    Ms  Kite  said  she  received  a  phone  call  on  13  February  2003  from  a  Jackson  associate,  Marc  Schaffel,  who  said  the  boy  and  his  family  had  left  the  Neverland  ranch  where  they  had  been  staying.  |||    Ms  Kite  told  the  court  she  had  later  asked  Jackson's  lawyer,  David  LeGrand,  what  had  happened.  ""I  said,  `Don't  make  me  believe  that  these  people  were  hunted  down  like  dogs  and  brought  back  to  the  ranch',""  she  said.  Ms  Kite  began  to  work  for  Mr  Jackson  in  February  2003,  after  the  controversial  film  was  televised  in  the  US  and  Europe.  The  documentary  sparked  a  media  storm  and  the  subsequent  investigation  into  Mr  Jackson's  relationship  with  the  boy.  In  the  film,  the  singer  said  he  did  not  see  anything  wrong  with  sharing  a  bed  with  a  child.  |||    Questioned  by  the  prosecution,  Ms  Kite  said  her  plan  had  been  to  move  media  coverage  of  the  star  away  from  a  focus  on  his  human  frailties  to  concentrate  more  on  his  musical  genius.  Ms  Kite  said  that  an  additional  problem  was  the  release  of  documents  relating  to  a  previous  allegation  of  child  abuse  against  Mr  Jackson.  The  Smoking  Gun  website  publication  was  ""beyond  disaster"",  Ms  Kite  said.  Correspondents  say  the  reference  is  important  because  it  was  unclear  whether  the  prosecution  would  be  able  to  bring  up  the  previous  case  in  front  of  the  jury.  |||    The  judge  is  studying  whether  the  prosecution's  first  witness,  reporter  Martin  Bashir,  is  in  contempt  of  court.  The  defence  protested  after  Mr  Bashir,  who  interviewed  Jackson  for  the  TV  documentary,  refused  to  answer  nearly  all  their  questions,  citing  a  California  ""shield""  law  intended  to  allow  journalists  to  protect  their  sources.  In  the  prosecution's  opening  statement  on  Monday,  Tom  Sneddon  told  the  court  that  Mr  Jackson  had  shown  the  boy  porn  and  plied  him  with  wine,  in  order  to  molest  him.  He  said  the  singer  had  visited  sexually  explicit  websites  and  showed  the  boy  -  who  was  13  at  the  time  -  and  his  younger  brother  pornography  at  his  ranch." 

1	"Double  win  for  Sea  Inside  |||    Spanish  movie  The  Sea  Inside  has  been  named  best  picture  and  star  Javier  Bardem  best  actor  at  the  Bangkok  International  Film  Festival.  |||    Based  on  the  true  story  of  a  paralysed  man's  battle  to  end  his  life,  The  Sea  Inside  was  best  foreign  language  film  at  the  2005  Golden  Globe  Awards.  Annette  Bening  and  Ana  Geislerova  shared  the  best  actress  award  at  the  Bangkok  festival.  This  year's  event  was  scaled  down  following  the  Asian  tsunami  disaster.  |||    Falling  Down  and  The  Phantom  of  the  Opera  director  Joel  Schumacher  won  a  lifetime  achievement  award  while  Hong  Kong  director  Wong  Kar-Wai  was  honoured  for  promoting  Asian  cinema.  ""It's  a  great  honour,  I  want  to  share  this  honour  with  my  Thai  colleagues,""  Wong  said.  French  writer  Christophe  Barratie  and  Korean  writer  Park  Chan-Chook  shared  the  best  screenplay  award  for  Les  Choristes  and  Old  Boy  respectively.  Now  in  its  third  year,  the  Bangkok  International  Film  Festival  is  donating  profits  from  ticket  sales  to  the  tsunami  relief  fund." 

