label	text_a
0	"Xanax  was  her  death  blow.  \\xc2\\xa0That  stuff  is  totally  dangerous  because  you  build  a  tolerance  to  it  so  quickly  and  if  you  stop  abruptly,  you  could  d  ie.  \\xc2\\xa0It  is  so  insidious  because  you  keep  taking  it  more  and  more  and  it  affects  your  memory  to  the  point  that  you  forget  how  much  you  took.  \\xc2\\xa0You  take  more  because  it  loses  it\\'s  "high"  effects  yet  its  memory  destroying  effects  get  worse  and  you  get  to  a  point  that  you  don\\'t  even  know  what  you  are  doing  anymore.  \\xc2\\xa0Mix  some  serious  partying  in  and  you  have  a  recipe  for  disaster.  \\xc2\\xa0She  probably  was  so  drunk  and  drugged  that  she  didn\\'t  know  how  much  Xanax  she  took,  (you  can  easily  forget  that  you  took  a  dose  if  you  have  been  high  on  them  for  days)  went  up  to  her  room,  took  another  big  dose  which  was  the  kil  ler  dose  and  the  rest  is  history.\\xc2\\xa0"
1	"you  are  both  morons  and  that  is  never  happening"
1	"you  are  just  an  idiot  blabbermouth  that  is  gonna  get  stopped  HARD  one  day!  You  WILL  NOT  be  saved."
0	"how  do  the  towers  connect  to  the  bottom  pentagon?    Since  it's  not  flat..."
0	"I  love  Cam  Newton's  upside,  and  think  he'll  be  an  All-Pro  caliber  QB,  but  21  TD's  and  17  Interceptions  and  NFL  Network  has  him  as  the  10th  best  Heisman  Winner  to  play  in  The  NFL.    Tebow  was  also  on  that  list.    ESPN  had  a  problem  with  Tebow  but  never  mentioned  how  stupid  it  was  that  a  guy  who  had  a  "decent"  year  throwing  the  ball,  for  a  bad  team  is  suddenly  on  a  list  that  Tim  Brown  is  not  on.    I'm  so  tired  of  ESPN  hyping  things  up  and  blowing  them  way  out  of  proportion,  for  better  or  worse."
1	"Eat  shit  and  die  Andrew"
1	"You  are  a  COMPLETE  idiot...not  even  a  partial."
1	"Flag  this  loser's  posts.  Enough  flags  and  he  loses  his  nic  automatically."
0	"fuck  the  judges..better  stop  the  boxing  events!"
0	"If  you  dont  have  a  teleport  and  air-mix  ups  "you  are  nothing  to  me""
0	"Non  sono  un  influencer  e  non  ho  letto  l'intervista...  non  ce  l'ho  fatta.\nMi  sono  limitato  a  leggere  le  domande...  la  media  era  di  sette  o  otto  parole  per  domanda,  a  cui  seguiva  un  paragrafo  di  risposta.\n\nInsomma,  lo  stesso  "stile"  delle  interviste  a  Berlusconi."
1	"Quit..fucking..with  my  trolling..douche"
1	"More  grammatical  errors,  Vicky<2...  You  are  so  stupid..."
0	"hats  off  Aamir  Sir  ,  AAMIR  JI  AAP  KA  YE  SHOW  HAR  INSAAN  KI  SOCH  BADAL  DEGA  !  HUMANBING  HAREK  ISAAN  ME  HONA  JARURI  HEY  OR  ESI  BUNIYAD  PE  DUNIYA  KAYAM  HEY  OR  RAHEGI  !  EK  BHARTIYA  HO  NE  KE  NAATE  HAMARA  SAB  KA  YE  FARZ  HE  KI  SACHE  HINDUSTANI  HO  NE  KA  FARZ  ADA  KARE  OR  HAMARE  HO  SAKE  ITNI  INSAANIYAD  KO  BADHAWA  DE."
0	"@Dan_tm@noBjustRyan  a  funny  thing  happened  on  the  way  to  that  forum,  but  all  the  optimists  were  too  happy  to  notice.  "
0	"Yeah!    And  Nixon  have  gotten  away  with  it  too  if  it  weren't  for  those  meddling  kids!"
0	"Or  Rob-Me  Scissor  Hands  giving  school  kids  a  hair  cut."
0	"Oh  great,  they're  gonna  devote  time  to  Santino  and  Dbl  R.  FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU-"
0	"@jakesnake99  Pelton  v.  Hollinger!\n\xa0\nI'm  interested  in  Pelton's  take  on  whether  or  not  the  Storm  should  tank."
0	"My  recipe  uses  shallots,  but  if  you  prefer  onions,  that  will  work  too."
